Basin_ID,BasinCons_InclNegat_Jan_m3,BasinCons_InclNegat_Feb_m3,BasinCons_InclNegat_Mar_m3,BasinCons_InclNegat_Apr_m3,BasinCons_InclNegat_May_m3,BasinCons_InclNegat_Jun_m3,BasinCons_InclNegat_Jul_m3,BasinCons_InclNegat_Aug_m3,BasinCons_InclNegat_Sep_m3,BasinCons_InclNegat_Oct_m3,BasinCons_InclNegat_Nov_m3,BasinCons_InclNegat_Dec_m3,BasinCons_Jan_m3,BasinCons_Feb_m3,BasinCons_Mar_m3,BasinCons_Apr_m3,BasinCons_May_m3,BasinCons_Jun_m3,BasinCons_Jul_m3,BasinCons_Aug_m3,BasinCons_Sep_m3,BasinCons_Oct_m3,BasinCons_Nov_m3,BasinCons_Dec_m3
39847,-5750.636393710971,-14687.580817385577,-550146.7986890972,-944724.7138362825,-1092669.2797821164,-648329.7261610031,-507639.1670972705,-933507.1694910526,-757787.1343909502,-474017.2484204918,-150299.54098413885,0.0,-5750.636393710971,-14687.580817385577,-550146.7986890972,-944724.7138362825,-1092669.2797821164,-648329.7261610031,-507639.1670972705,-933507.1694910526,-757787.1343909502,-474017.2484204918,-150299.54098413885,0.0
39904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39906,0.0,-133515.1857905127,-456771.669773452,-684472.3899235651,-832751.0459563285,-646430.2730045393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-133515.1857905127,-456771.669773452,-684472.3899235651,-832751.0459563285,-646430.2730045393,0.0,0.0,0.0,0.0,0.0,0.0
39927,43056544.288242534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48825168.76389372,167324.28824253567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335744.7638937235
39931,6228086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22053008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39932,14667715.0,4369491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39939,0.0,0.0,78183.82196460082,1440815.6010491215,1219174.4105643388,1938985.6324385293,802683.59375,16360.0986328125,0.0,0.0,0.0,0.0,0.0,0.0,78183.82196460082,1440815.6010491215,1219174.4105643388,1938985.6324385293,802683.59375,16360.0986328125,0.0,0.0,0.0,0.0
39964,78056.41779102385,1328048.6817163527,5295957.180196166,7568911.179554194,11267995.08061719,4584301.393817961,-336407.2673704922,-30071.092104554176,0.0,0.0,0.0,0.0,78056.41779102385,1328048.6817163527,5295957.180196166,7568911.179554194,11267995.08061719,4584301.393817961,-336407.2673704922,-30071.092104554176,0.0,0.0,0.0,0.0
39965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
